belie,verb,/bɪˈlaɪ/,"to show something to be false or to hide something such as an emotion"
capricious,adj,/kəˈprɪʃ.əs/,changing mood or behaviour suddenly and unexpectedly
cerebral,adj,/ˈser.ə.brəl/,relating to the cerebrum of the brain/involving intelligence rather than emotions or physical
congenial,adj,/kənˈdʒiː.ni.əl/,pleasant and friendly/producing a feeling of comfort or satisfaction
conspicuous,adj,/kənˈspɪk·ju·əs/,very noticeable or attracting attention often in a way that is not wanted/clearly visible
cursory,adj,/ˈkɝː.sɚ.i/,hasty (quick) and probably not detailed
daunting,verb,/ˈdɑːn.t̬ɪŋ/,making you feel slightly frightened or worried about your ability to achieve something
didactic,adj,/daɪˈdæk.tɪk/,intended to teach people a moral lesson
disseminate,verb,/dɪˈsem.ə.neɪt/,"spread (something especially information) widely"
feasible,adj,/ˈfiː.zə.bəl/,possible to do easily or conveniently
flout,verb,/flaʊt/,to intentionally not obey a rule/ law or custom
homogeneous,adj,/ˌhoʊ.moʊˈdʒiː.ni.əs/,consisting of parts or having qualities that are the same
humdrum,adj,/ˈhʌm.drʌm/,having no excitement/ interest or new and different events
insipid,adj,/ɪnˈsɪp.ɪd/,(of food) lacking a strong taste or character or (of people/ activities or entertainment) lacking in interest or energy
loquacious,adj,/loʊˈkweɪ.ʃəs/,Someone who is loquacious talks a lot
misanthropic,adj,/ˌmɪs.ənˈθrɑː.pɪk/,not liking other people
misnomer,noun,/mɪsˈnoʊ·mər/,"a name that is not correct or does not suit what it refers to, or a use of such a name"
negligent,adj,/ˈneɡ.lə.dʒənt/,not being careful or giving enough attention to people or things that are your responsibility
obsequious,adj,/əbˈsi·kwi·əs/,too eager to serve or obey someone
placate,adj,/ˈpleɪ.keɪt/,make (someone) less angry or hostile
proclivity,noun,/prəˈklɪv.ə.t̬i/,"the fact that someone likes something or likes to do something, especially something considered morally wrong"
puerile,adj,/ˈpjuː.ɚ.ɪl/,Of or characteristic of a child/ displaying or suggesting a lack of maturity
quixotic,adj,/kwɪkˈsɑː.t̬ɪk/,having or showing ideas that are different and unusual but not practical or likely to succeed
spendthrift,adj,/ˈspend.θrɪft/,a person who spends money in an extravagant irresponsible way
taciturn,adj,/ˈtæs.ə.tɝːn/,tending not to speak much
